nhpd_id,cousub_name,nhpd_lat,nhpd_lon,ncessch,school_merge,zo_usety,zuse_merge,reg_type,l_r_fid,zone_merge
1051826,ACTON,42.475538,-71.455215,ACTON,both,1,both,66,4178,both
1051920,ARLINGTON,42.42259,-71.17707,,left_only,3,both,244,6261,both
1051916,ARLINGTON,42.42627,-71.17552,250198000065,both,3,both,49,3953,both
1051922,ARLINGTON,42.426465,-71.176747,250198000065,both,3,both,49,3953,both
1050999,ARLINGTON,42.41006,-71.14044,250198000066,both,3,both,244,6235,both
1051918,ARLINGTON,42.41273,-71.1458,250198000066,both,3,both,244,6253,both
1051924,ARLINGTON,42.4019,-71.14858,250198000058,both,3,both,244,6232,both
1011368,ARLINGTON,42.424559,-71.175555,250198000065,both,3,both,244,6265,both
1051911,ARLINGTON,42.419737,-71.169084,250198000054,both,3,both,352,7730,both
1127771,ARLINGTON,42.423576,-71.174587,,left_only,3,both,260,6695,both
1051919,ARLINGTON,42.407376,-71.144751,,left_only,3,both,352,7717,both
1003329,ARLINGTON,42.41736,-71.15767,250198000059,both,3,both,432,8469,both
1051912,ARLINGTON,42.41504,-71.141649,250198000066,both,3,both,244,6253,both
1051913,ARLINGTON,42.41537,-71.14133,250198000066,both,3,both,244,6253,both
1013060,ARLINGTON,42.417941,-71.15528,250198000059,both,3,both,352,7728,both
1051923,ARLINGTON,42.41805,-71.14763,250198000066,both,3,both,244,6253,both
1051917,ARLINGTON,42.42413,-71.19236,250198000057,both,3,both,244,6259,both
1051921,ARLINGTON,42.42299,-71.16731,250198000062,both,3,both,49,3953,both
1051915,ARLINGTON,42.41506,-71.14635,250198000066,both,3,both,244,6253,both
1051914,ARLINGTON,42.42466,-71.16933,250198000062,both,3,both,49,3953,both
1051925,ARLINGTON,42.4159,-71.14452,250198000066,both,3,both,244,6253,both
1018790,ASHLAND,42.26037,-71.46497,250210000072,both,3,both,0,474,both
1003331,ASHLAND,42.25376,-71.46593,250210000072,both,1,both,237,6026,both
1051930,BEDFORD,42.478063,-71.317512,250240000131,both,1,both,237,6035,both
1105025,BEDFORD,42.4927,-71.2728,250240000131,both,1,both,237,6031,both
1127774,BEDFORD,42.485445,-71.282481,250240000131,both,1,both,239,6160,both
1013847,BEDFORD,42.504642,-71.273472,250240000131,both,1,both,233,5994,both
1051365,BELMONT,42.38954,-71.1932,250249000147,both,1,both,4,2425,both
1051981,BELMONT,42.39161,-71.17493,250249000147,both,1,both,68,4187,both
1052010,BEVERLY,42.55594,-70.88341,250264000175,both,1,both,249,6389,both
1051992,BEVERLY,42.549907,-70.891785,250264000175,both,1,both,45,3872,both
1051228,BEVERLY,42.54775,-70.8809,250264000169,both,1,both,415,8276,both
1051222,BEVERLY,42.54755,-70.88225,250264000169,both,1,both,415,8276,both
1051935,BEVERLY,42.54766,-70.87844,250264000169,both,3,both,248,6358,both
1051654,BEVERLY,42.54942,-70.87764,250264000169,both,3,both,248,6358,both
1051045,BEVERLY,42.553,-70.87868,250264000169,both,3,both,248,6358,both
1051994,BEVERLY,42.55036,-70.88231,250264000169,both,1,both,415,8276,both
1052009,BEVERLY,42.57256,-70.89329,250264000175,both,1,both,45,3875,both
1018794,BEVERLY,42.55529,-70.89581,250264000175,both,1,both,45,3872,both
1050420,BEVERLY,42.55267,-70.859,250264000168,both,1,both,45,3874,both
1050882,BEVERLY,42.57236,-70.85491,250264000169,both,1,both,41,3800,both
1051990,BEVERLY,42.5605,-70.8779,250264000169,both,1,both,249,6392,both
1051933,BEVERLY,42.549006,-70.881676,250264000169,both,1,both,415,8276,both
1051938,BEVERLY,42.549078,-70.882027,250264000169,both,1,both,415,8276,both
1050501,BEVERLY,42.56548,-70.90535,250264000175,both,1,both,412,8271,both
1018796,BEVERLY,42.577015,-70.881652,250264000173,both,1,both,45,3875,both
1051937,BEVERLY,42.557696,-70.883688,250264000175,both,1,both,249,6389,both
1051988,BEVERLY,42.557516,-70.884696,250264000175,both,1,both,249,6389,both
1103611,BEVERLY,42.557773,-70.883113,250264000175,both,1,both,249,6389,both
1050531,BEVERLY,42.57361,-70.85114,250264000167,both,1,both,41,3800,both
1050990,BEVERLY,42.54763,-70.87657,250264000169,both,1,both,241,6212,both
1051248,BEVERLY,42.55805,-70.87143,250264000169,both,1,both,45,3874,both
1051934,BEVERLY,42.553331,-70.883322,250264000175,both,2,both,34,3243,both
1051284,BEVERLY,42.58342,-70.88571,250264000173,both,1,both,45,3875,both
1052000,BEVERLY,42.546161,-70.885335,250264000175,both,3,both,248,6358,both
1104595,BEVERLY,42.546019,-70.885452,250264000175,both,3,both,248,6358,both
1052002,BEVERLY,42.544826,-70.881538,250264000169,both,1,both,415,8276,both
1106667,BEVERLY,42.54901,-70.88335,250264000169,both,3,both,248,6358,both
1051996,BEVERLY,42.54444,-70.88559,250264000175,both,2,both,34,3243,both
1051936,BEVERLY,42.544945,-70.886382,250264000175,both,2,both,34,3243,both
1051577,BEVERLY,42.55961,-70.88084,250264000175,both,1,both,249,6392,both
1051931,BEVERLY,42.54706,-70.87767,250264000169,both,1,both,241,6212,both
1051932,BEVERLY,42.54304,-70.88197,250264000169,both,1,both,249,6387,both
1051985,BEVERLY,42.55228,-70.881342,250264000169,both,1,both,415,8276,both
1018798,BOLTON,42.43042,-71.60372,BOLTON,both,1,both,5,2675,both
1010135,BOSTON,42.3779,-71.0625,BOSTON,both,1,both,281,7057,both
1051434,BOSTON,42.37653,-71.05182,BOSTON,both,3,both,313,7353,both
1107244,BOSTON,42.25785,-71.14488,BOSTON,both,1,both,273,6889,both
1009214,BOSTON,42.27143,-71.082252,BOSTON,both,2,both,104,4811,both
1051598,BOSTON,42.31778,-71.08194,BOSTON,both,3,both,381,7885,both
1146546,BOSTON,42.29746,-71.086008,BOSTON,both,1,both,57,4060,both
1051448,BOSTON,42.30424,-71.06092,BOSTON,both,1,both,88,4589,both
1050748,BOSTON,42.29454,-71.05642,BOSTON,both,1,both,256,6496,both
1022109,BOSTON,42.29425,-71.05701,BOSTON,both,1,both,56,4025,both
1050570,BOSTON,42.32617,-71.08575,BOSTON,both,1,both,9,2714,both
1050771,BOSTON,42.32067,-71.07841,BOSTON,both,1,both,9,2715,both
1051459,BOSTON,42.3172,-71.06968,BOSTON,both,1,both,9,2713,both
1050851,BOSTON,42.316978,-71.069706,BOSTON,both,1,both,9,2713,both
1019060,BOSTON,42.29762,-71.07341,BOSTON,both,1,both,259,6619,both
1052201,BOSTON,42.297355,-71.07482,BOSTON,both,1,both,259,6619,both
1051492,BOSTON,42.32996,-71.0783,BOSTON,both,1,both,380,7861,both
1052193,BOSTON,42.294585,-71.092246,BOSTON,both,3,both,377,7856,both
1050355,BOSTON,42.29691,-71.09007,BOSTON,both,1,both,273,6905,both
1050669,BOSTON,42.278139,-71.116423,BOSTON,both,1,both,273,6898,both
1051686,BOSTON,42.290103,-71.08638,BOSTON,both,1,both,273,6902,both
1008299,BOSTON,42.32028,-71.09962,BOSTON,both,1,both,269,6798,both
1127811,BOSTON,42.320857,-71.100314,BOSTON,both,3,both,282,7068,both
1051464,BOSTON,42.31964,-71.10121,BOSTON,both,1,both,269,6798,both
1051105,BOSTON,42.32005,-71.09966,BOSTON,both,1,both,269,6798,both
1051677,BOSTON,42.335176,-71.092925,BOSTON,both,1,both,256,6507,both
1050853,BOSTON,42.35476,-71.12732,BOSTON,both,1,both,254,6436,both
1009850,BOSTON,42.28562,-71.06389,BOSTON,both,1,both,160,5147,both
1051694,BOSTON,42.2879,-71.05783,BOSTON,both,1,both,56,4022,both
1050812,BOSTON,42.310079,-71.056139,BOSTON,both,1,both,160,5162,both
1051312,BOSTON,42.34861,-71.06621,BOSTON,both,3,both,120,5009,both
1051337,BOSTON,42.30653,-71.08178,BOSTON,both,1,both,9,2713,both
1050474,BOSTON,42.35139,-71.06215,BOSTON,both,3,both,492,8614,both
1107930,BOSTON,42.276259,-71.136285,BOSTON,both,1,both,273,6897,both
1051584,BOSTON,42.2774,-71.13453,BOSTON,both,1,both,259,6612,both
1051737,BOSTON,42.276227,-71.136524,BOSTON,both,1,both,273,6897,both
1013090,BOSTON,42.30594,-71.07473,BOSTON,both,1,both,256,6497,both
1129686,BOSTON,42.312401,-71.068075,BOSTON,both,1,both,256,6497,both
1051482,BOSTON,42.32428,-71.05871,BOSTON,both,1,both,56,4035,both
1107945,BOSTON,42.276852,-71.136564,BOSTON,both,1,both,273,6897,both
1154375,BOSTON,42.345939,-71.070855,BOSTON,both,3,both,458,8543,both
1009762,BOSTON,42.29098,-71.078654,BOSTON,both,2,both,34,3194,both
1008596,BOSTON,42.32507,-71.10369,BOSTON,both,1,both,269,6808,both
1019030,BOSTON,42.29766,-71.08263,BOSTON,both,1,both,57,4060,both
1102366,BOSTON,42.315131,-71.067956,BOSTON,both,1,both,256,6497,both
1052003,BOSTON,42.30849,-71.08264,BOSTON,both,3,both,384,7898,both
1051357,BOSTON,42.3562,-71.13779,BOSTON,both,1,both,270,6857,both
1052027,BOSTON,42.299709,-71.065689,BOSTON,both,1,both,259,6619,both
1013230,BOSTON,42.29909,-71.06766,BOSTON,both,1,both,259,6619,both
1050306,BOSTON,42.36257,-71.06646,BOSTON,both,1,both,166,5208,both
1051385,BOSTON,42.27508,-71.09397,BOSTON,both,1,both,259,6602,both
1051982,BOSTON,42.2738,-71.09412,BOSTON,both,3,both,427,8309,both
1052343,BOSTON,42.31708,-71.07884,BOSTON,both,1,both,380,7868,both
1042984,BOSTON,42.31511,-71.07834,BOSTON,both,3,both,381,7886,both
1050687,BOSTON,42.30771,-71.08328,BOSTON,both,1,both,380,7869,both
1050906,BOSTON,42.30806,-71.08391,BOSTON,both,1,both,384,7898,both
1050757,BOSTON,42.30687,-71.08386,BOSTON,both,1,both,380,7869,both
1051719,BOSTON,42.29876,-71.08631,BOSTON,both,3,both,271,6870,both
1150752,BOSTON,42.29876,-71.08631,BOSTON,both,3,both,271,6870,both
1050963,BOSTON,42.29366,-71.0889,BOSTON,both,1,both,273,6905,both
1012050,BOSTON,42.291671,-71.089478,BOSTON,both,1,both,57,4058,both
1050788,BOSTON,42.27603,-71.13836,BOSTON,both,1,both,273,6897,both
1051616,BOSTON,42.33768,-71.04606,BOSTON,both,1,both,354,7736,both
1019067,BOSTON,42.38096,-71.03995,BOSTON,both,1,both,273,6935,both
1050832,BOSTON,42.38156,-71.04175,BOSTON,both,1,both,273,6935,both
1051721,BOSTON,42.37201,-71.04209,BOSTON,both,3,both,420,8284,both
1050525,BOSTON,42.30277,-71.07563,BOSTON,both,1,both,256,6497,both
1051899,BOSTON,42.308521,-71.065135,BOSTON,both,1,both,56,4031,both
1050614,BOSTON,42.30087,-71.0721,BOSTON,both,1,both,56,4031,both
1010757,BOSTON,42.334655,-71.048667,BOSTON,both,1,both,354,7737,both
1008579,BOSTON,42.32017,-71.0868,BOSTON,both,1,both,380,7867,both
1018915,BOSTON,42.31619,-71.10213,BOSTON,both,1,both,266,6751,both
1051251,BOSTON,42.3524,-71.06367,BOSTON,both,3,both,535,8709,both
1050440,BOSTON,42.28989,-71.12006,BOSTON,both,1,both,273,6904,both
1003466,BOSTON,42.386544,-71.013524,BOSTON,both,1,both,156,5130,both
1050960,BOSTON,42.32267,-71.07411,BOSTON,both,1,both,9,2713,both
1050778,BOSTON,42.32075,-71.07255,BOSTON,both,1,both,9,2713,both
1130062,BOSTON,42.320001,-71.073585,BOSTON,both,1,both,9,2713,both
1051412,BOSTON,42.3094,-71.08954,BOSTON,both,1,both,9,2711,both
1050819,BOSTON,42.31068,-71.0791,BOSTON,both,3,both,8,2682,both
1106994,BOSTON,42.322454,-71.104021,BOSTON,both,1,both,261,6703,both
1050909,BOSTON,42.34424,-71.08814,BOSTON,both,1,both,482,8602,both
1103652,BOSTON,42.3443,-71.08891,BOSTON,both,1,both,482,8602,both
1154390,BOSTON,42.312763,-71.115429,BOSTON,both,1,both,247,6354,both
1051675,BOSTON,42.333853,-71.087177,BOSTON,both,1,both,380,7860,both
1154029,BOSTON,42.272968,-71.073883,BOSTON,both,1,both,256,6493,both
1050499,BOSTON,42.36088,-71.06747,BOSTON,both,3,both,454,8538,both
1052181,BOSTON,42.283898,-71.081206,BOSTON,both,1,both,39,3689,both
1008674,BOSTON,42.344782,-71.140955,BOSTON,both,1,both,273,6922,both
1051986,BOSTON,42.2738,-71.09412,BOSTON,both,3,both,427,8309,both
1000364,BOSTON,42.32589,-71.09185,BOSTON,both,1,both,9,2716,both
1052434,BOSTON,42.3137,-71.11127,BOSTON,both,1,both,252,6415,both
1051392,BOSTON,42.32254,-71.09653,BOSTON,both,4,both,4,2135,both
1051836,BOSTON,42.322631,-71.101096,BOSTON,both,3,both,282,7069,both
1051743,BOSTON,42.32319,-71.1007,BOSTON,both,1,both,269,6808,both
1051398,BOSTON,42.3225,-71.10819,BOSTON,both,3,both,282,7067,both
1013041,BOSTON,42.32265,-71.10825,BOSTON,both,3,both,282,7067,both
1050417,BOSTON,42.31617,-71.11348,BOSTON,both,1,both,269,6797,both
1051389,BOSTON,42.344632,-71.051887,BOSTON,both,2,both,2,1770,both
1050414,BOSTON,42.29976,-71.06411,BOSTON,both,1,both,259,6619,both
1108072,BOSTON,42.35272,-71.06125,BOSTON,both,3,both,535,8709,both
1050351,BOSTON,42.30944,-71.08495,BOSTON,both,1,both,9,2711,both
1051653,BOSTON,42.26062,-71.15498,BOSTON,both,1,both,54,3979,both
1050482,BOSTON,42.2606,-71.15529,BOSTON,both,1,both,54,3979,both
1146535,BOSTON,42.3468,-71.1513,BOSTON,both,1,both,259,6643,both
1051181,BOSTON,42.323483,-71.085046,BOSTON,both,1,both,9,2712,both
1050972,BOSTON,42.27261,-71.11897,BOSTON,both,1,both,273,6895,both
1051717,BOSTON,42.31398,-71.09706,BOSTON,both,1,both,269,6795,both
1050295,BOSTON,42.313855,-71.096527,BOSTON,both,1,both,269,6795,both
1051480,BOSTON,42.27485,-71.12143,BOSTON,both,1,both,56,4006,both
1051984,BOSTON,42.33894,-71.07403,BOSTON,both,3,both,467,8571,both
1050870,BOSTON,42.30538,-71.0797,BOSTON,both,1,both,380,7869,both
1051013,BOSTON,42.33088,-71.0457,BOSTON,both,1,both,354,7737,both
1050285,BOSTON,42.30562,-71.07932,BOSTON,both,1,both,380,7869,both
1051858,BOSTON,42.306113,-71.077437,BOSTON,both,1,both,380,7869,both
1051141,BOSTON,42.30707,-71.07701,BOSTON,both,3,both,381,7891,both
1008945,BOSTON,42.30745,-71.07564,BOSTON,both,1,both,380,7869,both
1051382,BOSTON,42.309329,-71.074031,BOSTON,both,1,both,9,2713,both
1051461,BOSTON,42.31201,-71.06975,BOSTON,both,1,both,256,6497,both
1050332,BOSTON,42.31225,-71.06946,BOSTON,both,1,both,160,5163,both
1050799,BOSTON,42.31243,-71.06928,BOSTON,both,1,both,256,6497,both
1106612,BOSTON,42.31395,-71.067272,BOSTON,both,1,both,160,5164,both
1050587,BOSTON,42.30421,-71.08288,BOSTON,both,1,both,57,4060,both
1104965,BOSTON,42.31517,-71.06736,BOSTON,both,1,both,256,6497,both
1013909,BOSTON,42.315568,-71.06734,BOSTON,both,1,both,256,6497,both
1051308,BOSTON,42.31646,-71.066,BOSTON,both,3,both,274,6975,both
1050633,BOSTON,42.31761,-71.06447,BOSTON,both,3,both,274,6975,both
1051335,BOSTON,42.3177,-71.06437,BOSTON,both,3,both,274,6975,both
1129693,BOSTON,42.323625,-71.097674,BOSTON,both,3,both,390,7952,both
1003629,BOSTON,42.314775,-71.097668,BOSTON,both,3,both,282,7066,both
1050611,BOSTON,42.3208,-71.09822,BOSTON,both,1,both,34,3204,both
1051590,BOSTON,42.3183,-71.09856,BOSTON,both,1,both,269,6798,both
1051460,BOSTON,42.315488,-71.097113,BOSTON,both,1,both,380,7869,both
1147296,BOSTON,42.314052,-71.096507,BOSTON,both,1,both,269,6795,both
1106589,BOSTON,42.31381,-71.09603,BOSTON,both,1,both,269,6795,both
1051089,BOSTON,42.34706,-71.07362,BOSTON,both,3,both,467,8573,both
1018806,BOSTON,42.34473,-71.07677,BOSTON,both,3,both,467,8573,both
1154030,BOSTON,42.342716,-71.079566,BOSTON,both,1,both,466,8560,both
1154031,BOSTON,42.342576,-71.079738,BOSTON,both,1,both,466,8560,both
1051321,BOSTON,42.34096,-71.08122,BOSTON,both,3,both,461,8546,both
1051672,BOSTON,42.33975,-71.08291,BOSTON,both,1,both,380,7859,both
1050755,BOSTON,42.33859,-71.08411,BOSTON,both,3,both,454,8534,both
1050519,BOSTON,42.3496,-71.13357,BOSTON,both,1,both,273,6925,both
1050940,BOSTON,42.34894,-71.13758,BOSTON,both,1,both,273,6925,both
1050544,BOSTON,42.34916,-71.13813,BOSTON,both,1,both,273,6925,both
1050886,BOSTON,42.33864,-71.15487,BOSTON,both,1,both,281,7053,both
1050344,BOSTON,42.34871,-71.09473,BOSTON,both,1,both,168,5215,both
1146547,BOSTON,42.382403,-71.035459,BOSTON,both,1,both,273,6935,both
