unique_id,ch40b_id,cousub_name,ch40b_city,ch40b_lat,ch40b_lon,ncessch,school_merge,zo_usety,zuse_merge,reg_type,l_r_fid,zone_merge
1,10,ACTON,ACTON,42.47222,-71.47353,ACTON,both,1,both,289,7205,both
1411,25,ACTON,ACTON,42.473103,-71.45455,ACTON,both,1,both,66,4178,both
3089,9281,ACTON,ACTON,42.45523,-71.435646,ACTON,both,1,both,64,4160,both
3212,9576,ACTON,ACTON,42.494087,-71.41634,ACTON,both,3,both,290,7212,both
3473,9994,ACTON,ACTON,42.4453,-71.43591,ACTON,both,1,both,64,4160,both
388,10489,ACTON,ACTON,42.438892,-71.43497,ACTON,both,3,both,85,4571,both
2751,7684,ACTON,ACTON,42.518295,-71.43143,ACTON,both,3,both,0,1528,both
873,17,ACTON,ACTON,42.51366,-71.42394,ACTON,both,1,both,63,4155,both
2093,3685,ACTON,ACTON,42.51905,-71.40547,ACTON,both,2,both,61,4101,both
3035,9092,ACTON,ACTON,42.503708,-71.419106,ACTON,both,1,both,287,7196,both
391,10490,ACTON,ACTON,42.506077,-71.42077,ACTON,both,1,both,287,7198,both
2887,8658,ACTON,ACTON,42.471806,-71.476006,ACTON,both,1,both,66,4178,both
190,10228,ACTON,ACTON,42.473312,-71.458984,ACTON,both,1,both,66,4178,both
279,10307,ACTON,ACTON,42.5251390060557,-71.4245694230069,ACTON,both,2,both,61,4102,both
2753,7684,ACTON,ACTON,42.52526,-71.4316,ACTON,both,2,both,61,4102,both
387,10489,ACTON,ACTON,42.439075,-71.43414,ACTON,both,3,both,85,4571,both
3068,9192,ACTON,ACTON,42.475117,-71.45664,ACTON,both,3,both,66,4178,both
392,10490,ACTON,ACTON,42.50616,-71.42077,ACTON,both,1,both,287,7198,both
1410,25,ACTON,ACTON,42.47284,-71.45466,ACTON,both,1,both,66,4178,both
2884,8656,ACTON,ACTON,42.472816,-71.45888,ACTON,both,1,both,66,4178,both
87,10079,ACTON,ACTON,42.4603,-71.46229,ACTON,both,1,both,66,4178,both
2752,7684,ACTON,ACTON,42.518337,-71.431465,ACTON,both,3,both,0,1528,both
1409,25,ACTON,ACTON,42.472572,-71.45476,ACTON,both,1,both,66,4178,both
3034,9091,ACTON,ACTON,42.5089,-71.41356,ACTON,both,1,both,66,4179,both
3196,9543,ACTON,ACTON,42.51441,-71.4257,ACTON,both,3,both,290,7217,both
3191,9533,ACTON,ACTON,42.48056,-71.45601,ACTON,both,2,both,75,4444,both
261,10284,ACTON,ACTON,42.465443,-71.45649,ACTON,both,1,both,66,4178,both
3029,9078,ACTON,ACTON,42.451523,-71.43371,ACTON,both,1,both,64,4160,both
389,10489,ACTON,ACTON,42.438927,-71.4348,ACTON,both,3,both,85,4571,both
2750,7684,ACTON,ACTON,42.518253,-71.43139,ACTON,both,3,both,287,7200,both
3036,9092,ACTON,ACTON,42.503925,-71.419624,ACTON,both,1,both,287,7196,both
3037,9092,ACTON,ACTON,42.50364,-71.41895,ACTON,both,1,both,287,7196,both
2754,7684,ACTON,ACTON,42.51821,-71.43136,ACTON,both,3,both,287,7200,both
2698,7161,ACTON,ACTON,42.46026,-71.446495,ACTON,both,3,both,66,4178,both
2886,8658,ACTON,ACTON,42.472755,-71.47489,ACTON,both,1,both,289,7205,both
3312,9758,ACTON,ACTON,42.490368,-71.4267,ACTON,both,2,both,0,1411,both
499,11,ACTON,ACTON,42.48382,-71.4311,ACTON,both,1,both,66,4177,both
686,14,ACTON,ACTON,42.5150098835647,-71.4249365315944,ACTON,both,1,both,287,7199,both
2885,8657,ACTON,ACTON,42.47361,-71.45908,ACTON,both,1,both,66,4178,both
3033,9091,ACTON,ACTON,42.50838,-71.413605,ACTON,both,1,both,66,4179,both
3072,9197,ARLINGTON,ARLINGTON,42.42422,-71.175766,250198000065,both,3,both,244,6265,both
2822,7949,ARLINGTON,ARLINGTON,42.41989,-71.16895,250198000054,both,3,both,352,7730,both
542,113,ARLINGTON,ARLINGTON,42.41659,-71.15251,250198000059,both,3,both,439,8495,both
545,114,ARLINGTON,ARLINGTON,42.419636,-71.16846,250198000054,both,3,both,352,7730,both
514,111,ARLINGTON,ARLINGTON,42.4262680724749,-71.1895260029162,,left_only,3,both,352,7734,both
492,109,ARLINGTON,ARLINGTON,42.417862,-71.146614,250198000066,both,3,both,244,6253,both
3428,9919,ARLINGTON,ARLINGTON,42.426323,-71.1824,250198000065,both,3,both,49,3953,both
2821,7948,ARLINGTON,ARLINGTON,42.421875,-71.16874,250198000062,both,2,both,103,4807,both
541,112,ARLINGTON,ARLINGTON,42.4268,-71.19018,,left_only,3,both,352,7734,both
431,10553,ARLINGTON,ARLINGTON,42.427578,-71.17414,,left_only,3,both,402,8022,both
460,106,ARLINGTON,ARLINGTON,42.4109926016271,-71.1350102952788,250198000066,both,3,both,246,6307,both
3198,9545,ARLINGTON,ARLINGTON,42.4075232043467,-71.1450754623655,,left_only,3,both,352,7717,both
2956,8814,ARLINGTON,ARLINGTON,42.423717,-71.16225,,left_only,3,both,462,8549,both
560,115,ARLINGTON,ARLINGTON,42.41003,-71.14017,250198000066,both,3,both,244,6235,both
2097,3689,ARLINGTON,ARLINGTON,,,,left_only,4,both,,,left_only
500,110,ARLINGTON,ARLINGTON,42.41949,-71.15224,250198000059,both,3,both,439,8500,both
3071,9197,ARLINGTON,ARLINGTON,42.424217,-71.175674,250198000065,both,3,both,244,6265,both
3264,9660,ARLINGTON,ARLINGTON,42.41785,-71.157684,,left_only,2,both,103,4804,both
3074,9197,ARLINGTON,ARLINGTON,42.424633,-71.17527,250198000065,both,3,both,244,6265,both
563,116,ARLINGTON,ARLINGTON,42.41732,-71.15777,250198000059,both,3,both,432,8469,both
