YEAR,NAME,MED_OWN_SHARE,MED_RENT_SHARE,STATEFP,COUNTYFP,TRACTFP
2018,"Census Tract 2059, Essex County, Massachusetts",26.7,33.9,25,009,205900
2018,"Census Tract 2068, Essex County, Massachusetts",23.2,31.9,25,009,206800
2018,"Census Tract 2103, Essex County, Massachusetts",22.8,41.6,25,009,210300
2018,"Census Tract 2176, Essex County, Massachusetts",22.7,28.5,25,009,217600
2018,"Census Tract 2233, Essex County, Massachusetts",24.0,18.4,25,009,223300
2018,"Census Tract 2503, Essex County, Massachusetts",48.3,34.2,25,009,250300
2018,"Census Tract 2524, Essex County, Massachusetts",30.7,39.3,25,009,252400
2018,"Census Tract 2514, Essex County, Massachusetts",35.5,33.4,25,009,251400
2018,"Census Tract 2521.02, Essex County, Massachusetts",21.6,26.0,25,009,252102
2018,"Census Tract 202, Suffolk County, Massachusetts",18.7,27.6,25,025,020200
2018,"Census Tract 303, Suffolk County, Massachusetts",26.1,25.0,25,025,030300
2018,"Census Tract 610, Suffolk County, Massachusetts",27.0,25.9,25,025,061000
2018,"Census Tract 612, Suffolk County, Massachusetts",21.8,23.3,25,025,061200
2018,"Census Tract 901, Suffolk County, Massachusetts",33.0,33.7,25,025,090100
2018,"Census Tract 902, Suffolk County, Massachusetts",51.0,31.8,25,025,090200
2018,"Census Tract 907, Suffolk County, Massachusetts",28.5,28.2,25,025,090700
2018,"Census Tract 912, Suffolk County, Massachusetts",24.2,30.4,25,025,091200
2018,"Census Tract 1003, Suffolk County, Massachusetts",31.3,42.4,25,025,100300
2018,"Census Tract 1011.01, Suffolk County, Massachusetts",28.3,38.2,25,025,101101
2018,"Census Tract 1303, Suffolk County, Massachusetts",18.7,40.8,25,025,130300
2018,"Census Tract 1401.02, Suffolk County, Massachusetts",22.7,29.2,25,025,140102
2018,"Census Tract 1403, Suffolk County, Massachusetts",33.0,40.3,25,025,140300
2018,"Census Tract 1804, Suffolk County, Massachusetts",26.9,28.7,25,025,180400
2018,"Census Tract 4001, Norfolk County, Massachusetts",22.1,29.5,25,021,400100
2018,"Census Tract 4007, Norfolk County, Massachusetts",18.0,28.8,25,021,400700
2018,"Census Tract 4025, Norfolk County, Massachusetts",20.0,28.8,25,021,402500
2018,"Census Tract 4104, Norfolk County, Massachusetts",19.8,30.3,25,021,410400
2018,"Census Tract 4152, Norfolk County, Massachusetts",23.5,37.3,25,021,415200
2018,"Census Tract 4171, Norfolk County, Massachusetts",21.6,21.0,25,021,417100
2018,"Census Tract 4178.02, Norfolk County, Massachusetts",25.1,32.2,25,021,417802
2018,"Census Tract 4179.02, Norfolk County, Massachusetts",27.4,29.3,25,021,417902
2018,"Census Tract 9816, Suffolk County, Massachusetts",-666666666.0,-666666666.0,25,025,981600
2018,"Census Tract 9817, Suffolk County, Massachusetts",-666666666.0,-666666666.0,25,025,981700
2018,"Census Tract 9818, Suffolk County, Massachusetts",-666666666.0,-666666666.0,25,025,981800
2018,"Census Tract 9901.01, Suffolk County, Massachusetts",-666666666.0,-666666666.0,25,025,990101
2018,"Census Tract 7310.01, Worcester County, Massachusetts",23.1,26.6,25,027,731001
2018,"Census Tract 7095.01, Worcester County, Massachusetts",21.2,34.6,25,027,709501
2018,"Census Tract 7095.02, Worcester County, Massachusetts",21.2,29.1,25,027,709502
2018,"Census Tract 7211.01, Worcester County, Massachusetts",22.6,31.7,25,027,721101
2018,"Census Tract 7211.02, Worcester County, Massachusetts",22.3,26.1,25,027,721102
2018,"Census Tract 7310.02, Worcester County, Massachusetts",23.5,32.7,25,027,731002
2018,"Census Tract 4113.02, Norfolk County, Massachusetts",25.1,37.4,25,021,411302
2018,"Census Tract 4134.02, Norfolk County, Massachusetts",26.8,24.8,25,021,413402
2018,"Census Tract 4161.02, Norfolk County, Massachusetts",25.1,38.3,25,021,416102
2018,"Census Tract 4177.01, Norfolk County, Massachusetts",27.4,27.9,25,021,417701
2018,"Census Tract 4177.02, Norfolk County, Massachusetts",24.2,29.8,25,021,417702
2018,"Census Tract 4180.03, Norfolk County, Massachusetts",25.6,29.8,25,021,418003
2018,"Census Tract 4180.04, Norfolk County, Massachusetts",32.5,32.2,25,021,418004
2018,"Census Tract 4181.01, Norfolk County, Massachusetts",26.8,33.4,25,021,418101
2018,"Census Tract 4181.02, Norfolk County, Massachusetts",30.7,29.0,25,021,418102
2018,"Census Tract 4412.03, Norfolk County, Massachusetts",22.0,36.6,25,021,441203
2018,"Census Tract 4412.04, Norfolk County, Massachusetts",18.9,34.3,25,021,441204
2018,"Census Tract 4422.01, Norfolk County, Massachusetts",18.9,20.6,25,021,442201
2018,"Census Tract 4422.02, Norfolk County, Massachusetts",19.3,27.1,25,021,442202
2018,"Census Tract 914, Suffolk County, Massachusetts",23.2,33.8,25,025,091400
2018,"Census Tract 4009, Norfolk County, Massachusetts",24.4,31.2,25,021,400900
2018,"Census Tract 4011, Norfolk County, Massachusetts",21.7,28.3,25,021,401100
2018,"Census Tract 4012, Norfolk County, Massachusetts",18.8,28.0,25,021,401200
2018,"Census Tract 4034, Norfolk County, Massachusetts",22.7,26.8,25,021,403400
2018,"Census Tract 4042.01, Norfolk County, Massachusetts",20.4,24.5,25,021,404201
2018,"Census Tract 4043.01, Norfolk County, Massachusetts",21.7,22.3,25,021,404301
2018,"Census Tract 4051, Norfolk County, Massachusetts",21.2,42.9,25,021,405100
2018,"Census Tract 4131, Norfolk County, Massachusetts",22.0,26.3,25,021,413100
2018,"Census Tract 4132, Norfolk County, Massachusetts",19.8,29.1,25,021,413200
2018,"Census Tract 4133, Norfolk County, Massachusetts",20.1,23.2,25,021,413300
2018,"Census Tract 4135, Norfolk County, Massachusetts",22.3,26.4,25,021,413500
2018,"Census Tract 4143, Norfolk County, Massachusetts",21.6,27.8,25,021,414300
2018,"Census Tract 4163, Norfolk County, Massachusetts",19.6,31.7,25,021,416300
2018,"Census Tract 4164, Norfolk County, Massachusetts",21.0,24.1,25,021,416400
2018,"Census Tract 4175.01, Norfolk County, Massachusetts",26.8,30.7,25,021,417501
2018,"Census Tract 4180.02, Norfolk County, Massachusetts",24.5,24.5,25,021,418002
2018,"Census Tract 3103, Middlesex County, Massachusetts",24.8,35.0,25,017,310300
2018,"Census Tract 3106.01, Middlesex County, Massachusetts",21.0,30.1,25,017,310601
2018,"Census Tract 3241.02, Middlesex County, Massachusetts",21.6,22.1,25,017,324102
2018,"Census Tract 3261.01, Middlesex County, Massachusetts",18.2,42.6,25,017,326101
2018,"Census Tract 3261.02, Middlesex County, Massachusetts",24.6,23.8,25,017,326102
2018,"Census Tract 3353.02, Middlesex County, Massachusetts",21.6,28.0,25,017,335302
2018,"Census Tract 3353.01, Middlesex County, Massachusetts",24.5,29.3,25,017,335301
2018,"Census Tract 3398.02, Middlesex County, Massachusetts",22.3,22.7,25,017,339802
2018,"Census Tract 3411.01, Middlesex County, Massachusetts",23.0,22.9,25,017,341101
