unique_id,ch40b_id,ch40b_address,ch40b_city,state_fip,county_fip,census_tract,block_group,ch40b_lon,ch40b_lat,SHIUnits,CompPermit,ch40b_source,YrEnd,OwnorRent,SubsidizingAgency,DateCompPermitIssued,MUNI
3212,"9576","263 GREAT RD","ACTON","25","17","363105","2011",-71.41634000000001,42.494087,"7","YES","comp permits sheet","Perp","Mix","DHCD"," 7/18/2012","ACTON"
3029,"9078","5 DRUMMER RD","ACTON","25","17","363104","3000",-71.43371,42.451523,"1","NO","non-40b Local Action Units","Perp","Rental","DHCD","","ACTON"
392,"10490","363 GREAT RD","ACTON","25","17","363106","1006",-71.42077,42.50616,"8","YES","comp permits sheet","Perp","Ownership","DHCD"," 8/10/2020","ACTON"
3312,"9758","6 POST OFFICE SQ","ACTON","25","17","363104","2005",-71.4267,42.490368,"3","YES","comp permits sheet","Perp","Ownership","DHCD"," 5/16/2014","ACTON"
2751,"7684"," 555 GREAT ROAD REAR","ACTON","25","17","363106","1010",-71.43143000000001,42.518295,"296","YES","","Perp","Rental","MassDevelopment","12/20/2005","ACTON"
3037,"9092","12 WAMPUS AVE","ACTON","25","17","363106","1006",-71.41895,42.50364,"2","NO","non-40b Local Action Units","Perp","Rental","DHCD","","ACTON"
3473,"9994","248 HIGH ST","ACTON","25","17","363104","3000",-71.43591000000001,42.4453,"2","YES","comp permits sheet","Perp","Ownership","DHCD"," 8/11/2016","ACTON"
3033,"9091","737 MAIN ST","ACTON","25","17","363105","2009",-71.413605,42.50838,"2","YES","comp permits sheet","Perp","Ownership","DHCD"," 3/21/2007","ACTON"
387,"10489","12 POWDER MILL RD","ACTON","25","17","363104","3022",-71.43414,42.439075,"230","YES","comp permits sheet","Perp","Rental","DHCD"," 8/10/2020","ACTON"
686,"14","SACHEM WAY","ACTON","","","","",-71.4249365315944,42.5150098835647,"12","Yes","","Perp","Rental","DHCD","","ACTON"
2753,"7684"," 80 NAGOG PARK","ACTON","25","17","363106","2010",-71.4316,42.52526,"296","YES","","Perp","Rental","MassDevelopment","12/20/2005","ACTON"
1410,"25","246 MAIN ST","ACTON","25","17","363202","2001",-71.45466,42.47284,"3","Yes","comp permits sheet","2101","Ownership","FHLBB","11/19/2002","ACTON"
1411,"25","248 MAIN ST","ACTON","25","17","363202","2001",-71.45455,42.473103,"3","Yes","comp permits sheet","2101","Ownership","FHLBB","11/19/2002","ACTON"
2093,"3685","10 DEVON DR","ACTON","25","17","363106","2006",-71.40546999999999,42.51905,"3","No","non-40b Local Action Units","Perp","Rental","DHCD","","ACTON"
87,"10079","31-45 MARTIN ST","ACTON","25","17","363201","3005",-71.46229,42.4603,"7","YES","","Perp","Ownership","MassHousing"," 3/28/2017","ACTON"
873,"17","4 JENNIFER PATH","ACTON","25","17","363106","1000",-71.42394,42.51366,"4","No","non-40b Local Action Units","Perp","Mix","DHCD","","ACTON"
1,"10","68 WINDSOR AVE","ACTON","25","17","363201","1006",-71.47353,42.47222,"68","Yes","","Perp","Rental","DHCD","","ACTON"
3089,"9281","99 PARKER ST","ACTON","25","17","363104","3004",-71.43564600000001,42.45523,"2","YES","comp permits sheet","Perp","Ownership","DHCD"," 9/10/2010","ACTON"
261,"10284","184 MAIN ST","ACTON","25","17","363202","2009",-71.45649,42.465443,"0","YES","comp permits sheet","Perp","Ownership","DHCD"," 7/27/2018","ACTON"
3191,"9533","3 CHARTER RD","ACTON","25","17","363202","1006",-71.45601000000001,42.48056,"15","YES","","Perp","Rental","MHP","10/23/2008","ACTON"
2750,"7684"," 553 GREAT ROAD REAR","ACTON","25","17","363106","1010",-71.43138999999999,42.518253,"296","YES","","Perp","Rental","MassDevelopment","12/20/2005","ACTON"
279,"10307","1000 AVALON DR","ACTON","","","","",-71.4245694230069,42.5251390060557,"86","YES","","Perp","Rental","DHCD","  4/9/2019","ACTON"
2886,"8658","214 CENTRAL ST","ACTON","25","17","363201","1019",-71.47489,42.472755,"3","YES","comp permits sheet","Perp","Mix","DHCD"," 12/5/2006","ACTON"
2754,"7684","551 GREAT ROAD REAR","ACTON","25","17","363106","1010",-71.43136,42.51821,"296","YES","","Perp","Rental","MassDevelopment","12/20/2005","ACTON"
2884,"8656","139 PROSPECT ST","ACTON","25","17","363202","2001",-71.45887999999999,42.472816,"3","YES","comp permits sheet","Perp","Ownership","DHCD"," 10/4/2006","ACTON"
3196,"9543","15-26 SACHEM WAY","ACTON","25","17","363106","1000",-71.42570000000001,42.51441,"12","YES","","Perp","Rental","DHCD","10/12/2010","ACTON"
389,"10489","4 POWDER MILL RD","ACTON","25","17","363104","3022",-71.4348,42.438927,"230","YES","comp permits sheet","Perp","Rental","DHCD"," 8/10/2020","ACTON"
2698,"7161","68 RIVER ST","ACTON","25","17","363104","1035",-71.446495,42.46026,"2","Yes","comp permits sheet","Perp","Ownership","DHCD","12/22/2004","ACTON"
