DATE,CPALTT01USA661S_NBD20190101
1995-01-01,59.60450
1996-01-01,61.35163
1997-01-01,62.78584
1998-01-01,63.76046
1999-01-01,65.15555
2000-01-01,67.35576
2001-01-01,69.25935
2002-01-01,70.35783
2003-01-01,71.95502
2004-01-01,73.88142
2005-01-01,76.38803
2006-01-01,78.85227
2007-01-01,81.10166
2008-01-01,84.21524
2009-01-01,83.91581
2010-01-01,85.29207
2011-01-01,87.98460
2012-01-01,89.80530
2013-01-01,91.12080
2014-01-01,92.59898
2015-01-01,92.70883
2016-01-01,93.87843
2017-01-01,95.87814
2018-01-01,98.22005
2019-01-01,100.00000
2020-01-01,101.23358
