muni_id,muni,muni_ids_all
2,Acton,2;21;22
10,Arlington,10;106
14,Ashland,14
23,Bedford,23
25,Bellingham,25
26,Belmont,26
30,Beverly,30
34,Bolton,34
35,Boston,35
37,Boxborough,37
40,Braintree,40
46,Brookline,46
48,Burlington,48
49,Cambridge,49
50,Canton,50
51,Carlisle,51
57,Chelsea,57
65,Cohasset,65
67,Concord,67
71,Danvers,71
73,Dedham,73
78,Dover,78
82,Duxbury,82
92,Essex,92
93,Everett,93
99,Foxborough,99
100,Framingham,100
101,Franklin,101
107,Gloucester,107
119,Hamilton,119
122,Hanover,122
131,Hingham,131
133,Holbrook,133
136,Holliston,136
139,Hopkinton,139
141,Hudson,141
142,Hull,142
144,Ipswich,144
155,Lexington,155
157,Lincoln,157
158,Littleton,158
163,Lynn,163
164,Lynnfield,164
165,Malden,165
166,Manchester,166
168,Marblehead,168
170,Marlborough,170
171,Marshfield,171
174,Maynard,174
175,Medfield,175
176,Medford,176
177,Medway,177
178,Melrose,178
184,Middleton,184
185,Milford,185
187,Millis,187
189,Milton,189
196,Nahant,196
198,Natick,198
199,Needham,199;299
207,Newton,207
208,Norfolk,208
213,North Reading,213
219,Norwell,219
220,Norwood,220
229,Peabody,229
231,Pembroke,231
243,Quincy,243
244,Randolph,244
246,Reading,246
248,Revere,248
251,Rockland,251
252,Rockport,252
258,Salem,258
262,Saugus,262
264,Scituate,264
266,Sharon,266
269,Sherborn,269
274,Somerville,274
277,Southborough,277
284,Stoneham,284
285,Stoughton,285
286,Stow,286
288,Sudbury,288
291,Swampscott,291
298,Topsfield,298
305,Wakefield,305
307,Walpole,307
308,Waltham,308
314,Watertown,314
315,Wayland,315
317,Wellesley,317
320,Wenham,320
333,Weston,333
335,Westwood,335
336,Weymouth,336
342,Wilmington,342
344,Winchester,344
346,Winthrop,346
347,Woburn,347
350,Wrentham,350
